epoch,psnr,ssim,lpips,psnr_y,ssim_y,train_loss
1,15.9266,0.2497,0.5760,nan,nan,0.479668
1,15.9959,0.2651,0.5629,nan,nan,0.476541
1,15.2697,0.2629,0.5842,nan,nan,0.476822
1,16.1393,0.2792,0.5635,nan,nan,0.473279
1,16.1336,0.2586,0.5618,nan,nan,0.474303
1,15.8152,0.2884,0.5162,nan,nan,0.472051
1,15.6843,0.2593,0.6001,nan,nan,0.469876
1,16.6308,0.2860,0.5546,nan,nan,0.472248
1,16.3361,0.2761,0.5602,nan,nan,0.470725
1,15.6488,0.2701,0.5371,nan,nan,0.469737
1,16.3313,0.2695,0.5564,nan,nan,0.466094
1,16.1723,0.2669,0.5849,nan,nan,0.463352
1,16.0683,0.2734,0.5459,nan,nan,0.467337
1,16.1409,0.2736,0.5688,nan,nan,0.468393
1,16.9968,0.2911,0.5651,nan,nan,0.473863
1,16.1876,0.2801,0.5355,nan,nan,0.474544
1,15.9614,0.2700,0.5750,nan,nan,0.471048
1,16.1170,0.2751,0.5427,nan,nan,0.468283
1,15.9907,0.2702,0.5833,nan,nan,0.468648
1,16.1930,0.2567,0.5664,nan,nan,0.465727
1,16.7467,0.2965,0.5377,nan,nan,0.465869
1,16.4007,0.2677,0.5425,nan,nan,0.470750
1,15.8335,0.2582,0.5825,nan,nan,0.470554
1,16.1218,0.2805,0.5348,nan,nan,0.472707
1,16.0952,0.2514,0.5886,nan,nan,0.474110
1,15.9498,0.2651,0.5734,nan,nan,0.471502
1,15.7518,0.2639,0.5446,nan,nan,0.469715
1,15.6145,0.2699,0.5846,nan,nan,0.467671
1,16.3907,0.2880,0.5449,nan,nan,0.465529
1,16.1910,0.2893,0.5584,nan,nan,0.469053
1,15.7491,0.2561,0.5535,nan,nan,0.466916
1,15.8427,0.2723,0.5611,nan,nan,0.464292
1,16.2165,0.2649,0.5522,nan,nan,0.462859
1,15.7151,0.2651,0.5660,nan,nan,0.460274
1,16.1086,0.2721,0.5742,nan,nan,0.461434
1,15.7989,0.2581,0.5585,nan,nan,0.464148
1,15.9033,0.2667,0.5504,nan,nan,0.463331
1,16.1529,0.2764,0.5260,nan,nan,0.461879
1,16.6777,0.2955,0.5268,nan,nan,0.464575
1,16.1130,0.2685,0.5611,nan,nan,0.466485
1,16.2101,0.2716,0.5692,nan,nan,0.463588
1,15.3685,0.2570,0.5670,nan,nan,0.461459
1,15.8211,0.2669,0.5683,nan,nan,0.460201
1,15.4606,0.2489,0.5975,nan,nan,0.459104
1,16.3107,0.2623,0.5915,nan,nan,0.456381
1,16.1508,0.2724,0.5994,nan,nan,0.459491
1,16.5979,0.3058,0.5209,nan,nan,0.457577
1,16.4622,0.2943,0.5514,nan,nan,0.455013
1,15.8779,0.2464,0.5967,nan,nan,0.458840
1,15.9826,0.2666,0.5754,nan,nan,0.461356
1,17.0955,0.2895,0.5434,nan,nan,0.460132
1,16.4671,0.2854,0.5585,nan,nan,0.462235
1,16.0696,0.2517,0.5836,nan,nan,0.466510
1,16.2169,0.2537,0.5680,nan,nan,0.463874
1,16.1181,0.2802,0.5454,nan,nan,0.465430
1,16.4436,0.2627,0.5770,nan,nan,0.467123
1,16.1293,0.2574,0.5778,nan,nan,0.469208
1,16.4084,0.2606,0.5714,nan,nan,0.466941
1,15.9404,0.2587,0.5607,nan,nan,0.468431
1,15.8870,0.2731,0.5518,nan,nan,0.466259
1,16.0291,0.2757,0.5645,nan,nan,0.464648
1,16.0854,0.2582,0.5790,nan,nan,0.462781
1,16.3226,0.2549,0.5628,nan,nan,0.463179
1,15.8412,0.2483,0.5972,nan,nan,0.460933
1,15.7244,0.2540,0.5861,nan,nan,0.464616
1,16.2651,0.2670,0.5500,nan,nan,0.465934
1,15.9377,0.2643,0.5449,nan,nan,0.466842
1,15.4755,0.2514,0.5828,nan,nan,0.470657
1,15.6127,0.2560,0.5617,nan,nan,0.470985
1,15.9651,0.2572,0.5740,nan,nan,0.468652
1,15.9621,0.2600,0.5814,nan,nan,0.472048
1,16.0717,0.2623,0.5777,nan,nan,0.471085
1,15.3651,0.2594,0.5625,nan,nan,0.472550
1,15.7371,0.2572,0.5809,nan,nan,0.475172
1,15.4689,0.2515,0.5985,nan,nan,0.472995
1,16.3247,0.2883,0.5568,nan,nan,0.476707
1,16.0237,0.2651,0.5705,nan,nan,0.476807
1,15.9209,0.2520,0.5813,nan,nan,0.477252
1,16.2652,0.2707,0.5645,nan,nan,0.476268
1,15.7291,0.2637,0.5806,nan,nan,0.477545
1,16.3478,0.2814,0.5852,nan,nan,0.476244
1,15.8161,0.2595,0.5506,nan,nan,0.479651
1,15.9074,0.2599,0.5808,nan,nan,0.477650
1,15.8431,0.2759,0.5539,nan,nan,0.478113
1,15.4941,0.2424,0.5867,nan,nan,0.478273
1,15.4271,0.2437,0.5917,nan,nan,0.478216
1,15.2539,0.2496,0.6070,nan,nan,0.481066
1,15.5795,0.2494,0.5849,nan,nan,0.481501
1,15.4538,0.2461,0.5897,nan,nan,0.482690
1,15.8136,0.2639,0.5710,nan,nan,0.481002
1,15.5753,0.2376,0.5832,nan,nan,0.483737
1,16.1211,0.2570,0.5806,nan,nan,0.483711
1,15.7259,0.2602,0.5580,nan,nan,0.483159
1,15.9358,0.2803,0.5865,nan,nan,0.485271
1,15.7821,0.2522,0.5719,nan,nan,0.486268
1,15.7595,0.2479,0.6019,nan,nan,0.484217
1,15.3853,0.2481,0.5920,nan,nan,0.482886
1,15.4377,0.2528,0.5885,nan,nan,0.482132
1,15.3800,0.2313,0.6012,nan,nan,0.482519
1,15.8147,0.2533,0.6171,nan,nan,0.481270
1,15.3504,0.2407,0.5826,nan,nan,0.484289
1,15.8034,0.2495,0.5897,nan,nan,0.486745
1,15.3222,0.2516,0.6068,nan,nan,0.486904
1,15.5705,0.2465,0.5764,nan,nan,0.485477
1,15.3978,0.2363,0.5930,nan,nan,0.488420
1,16.4902,0.2765,0.5619,nan,nan,0.490063
1,15.4339,0.2357,0.6093,nan,nan,0.488298
1,15.7676,0.2603,0.5787,nan,nan,0.487289
1,15.6534,0.2553,0.5609,nan,nan,0.489609
1,15.4851,0.2542,0.6073,nan,nan,0.491817
1,15.4648,0.2391,0.6049,nan,nan,0.494508
1,15.4815,0.2441,0.5920,nan,nan,0.497080
1,15.6341,0.2501,0.5884,nan,nan,0.496640
1,15.8745,0.2611,0.5871,nan,nan,0.499631
1,15.2161,0.2290,0.6046,nan,nan,0.498916
